id,homeTeam,homeTeamImage,awayTeam,awayTeamImage,scoreHome,scoreAway,pointsHome,pointsAway,referee,stadium,capacity,public,date,time,country,round
pt4xgBkq,ABC,https://static.flashscore.com/res/image/data/UFTNwjYA-no5LkQQ6.png,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,3,2,3,0,Ferreira Y. (Bra),Estadio Maria Lamas Farache (Natal),18000,4054.0,25/11/2023,17:00,BRASIL,SÉRIE B - RODADA 38
6Z4vebLT,Atlético-GO,https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,3,0,3,0,da Silva Junior J. M. (Bra),Estádio Antonio Accioly (Goiânia),12500,11559.0,25/11/2023,17:00,BRASIL,SÉRIE B - RODADA 38
red6jITp,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,0,0,1,1,F. A. Santos Sá Júnior (Bra),Ressacada (Florianópolis),17800,3427.0,25/11/2023,17:00,BRASIL,SÉRIE B - RODADA 38
p0zkF16o,Botafogo-SP,https://static.flashscore.com/res/image/data/lduff8Ca-jF5yTdXD.png,Londrina,https://static.flashscore.com/res/image/data/ADUlTugl-dAibSIqE.png,0,1,0,3,P. Belence Alves dos Prazeres Filho (Bra),Estádio Santa Cruz (Ribeirão Preto),29292,1537.0,25/11/2023,17:00,BRASIL,SÉRIE B - RODADA 38
dIn0Caj4,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,1,3,0,3,Augusto V. C. M. (Bra),Estadio Presidente Vargas (Fortaleza),20262,7515.0,25/11/2023,17:00,BRASIL,SÉRIE B - RODADA 38
vsx5BJ5A,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,Vitória,https://static.flashscore.com/res/image/data/EglYBtxS-4S2Tm4eJ.png,3,1,3,0,Klein R. (Bra),Arena Condá (Chapecó),20089,11171.0,25/11/2023,17:00,BRASIL,SÉRIE B - RODADA 38
OjZhELLi,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,Criciúma,https://static.flashscore.com/res/image/data/rD23Eng5-no5LkQQ6.png,2,0,3,0,Ribeiro Serafim D. (Bra),Estádio Dr. Jorge Ismael de Biasi (Novo Horizonte),14096,3666.0,25/11/2023,17:00,BRASIL,SÉRIE B - RODADA 38
CC5zdv6N,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,3,0,3,0,Leandro Vuaden (Bra),Moisés Lucarelli (Campinas),17728,9737.0,25/11/2023,17:00,BRASIL,SÉRIE B - RODADA 38
IRmdDuyb,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,Sampaio Corrêa,https://static.flashscore.com/res/image/data/KMTdZsxS-6NoYJwvQ.png,4,1,3,0,Padovani Andrade D. J. (Bra),Estádio Adelmar da Costa Carvalho (Recife),26418,11520.0,25/11/2023,17:00,BRASIL,SÉRIE B - RODADA 38
hpt9AwLG,Tombense,https://static.flashscore.com/res/image/data/UHHDSjzB-Uk2dj2zB.png,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,0,1,0,3,Wagner do Nascimento (Bra),Estádio Antônio Guimarães de Almeida (Tombos),3050,1947.0,25/11/2023,17:00,BRASIL,SÉRIE B - RODADA 38
rXDJaM6b,Sampaio Corrêa,https://static.flashscore.com/res/image/data/KMTdZsxS-6NoYJwvQ.png,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,4,0,3,0,Wilton Sampaio (Bra),Estádio Governador João Castelo (São Luís),40149,,20/11/2023,20:00,BRASIL,SÉRIE B - RODADA 37
YL6WdKjH,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,Tombense,https://static.flashscore.com/res/image/data/UHHDSjzB-Uk2dj2zB.png,2,0,3,0,Klein R. (Bra),Estádio Rei Pelé (Maceió),19105,,19/11/2023,18:00,BRASIL,SÉRIE B - RODADA 37
xfihq1MH,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,ABC,https://static.flashscore.com/res/image/data/UFTNwjYA-no5LkQQ6.png,2,3,0,3,F. Fernandes de Lima (Bra),Estádio Brinco de Ouro (Campinas),29130,3089.0,19/11/2023,15:45,BRASIL,SÉRIE B - RODADA 37
b9u1suiU,Criciúma,https://static.flashscore.com/res/image/data/rD23Eng5-no5LkQQ6.png,Botafogo-SP,https://static.flashscore.com/res/image/data/lduff8Ca-jF5yTdXD.png,3,0,3,0,Ferreira Y. (Bra),Estádio Heriberto Hülse (Criciúma),19300,18673.0,18/11/2023,17:00,BRASIL,SÉRIE B - RODADA 37
xfDNbtM4,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,0,0,1,1,Wagner do Nascimento (Bra),Estadio Alfredo Jaconi (Caxias do Sul),19924,13157.0,18/11/2023,17:00,BRASIL,SÉRIE B - RODADA 37
lYKA1rxn,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,Atlético-GO,https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,4,1,3,0,Marcelo de Lima (Bra),Estádio José Maria de Campos Maia (Mirassol),15000,3625.0,18/11/2023,17:00,BRASIL,SÉRIE B - RODADA 37
KItcrLyO,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,3,1,3,0,da Silva Junior J. M. (Bra),Estádio Onésio Brasileiro Alvarenga (Goiânia),11788,10878.0,18/11/2023,17:00,BRASIL,SÉRIE B - RODADA 37
WdAF02ih,Vitória,https://static.flashscore.com/res/image/data/EglYBtxS-4S2Tm4eJ.png,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,1,0,3,0,P. C. Zanovelli (Bra),Barradão (Salvador),34535,29168.0,18/11/2023,17:00,BRASIL,SÉRIE B - RODADA 37
GpCRc0yB,Londrina,https://static.flashscore.com/res/image/data/ADUlTugl-dAibSIqE.png,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,0,1,0,3,Padovani Andrade D. J. (Bra),Estádio do Café (Londrina),36056,469.0,17/11/2023,21:30,BRASIL,SÉRIE B - RODADA 37
AsM62OMu,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,0,0,1,1,Anderson Daronco (Bra),Estádio Novelli Júnior (Itu),18560,3294.0,17/11/2023,19:00,BRASIL,SÉRIE B - RODADA 37
Ojmlps7B,ABC,https://static.flashscore.com/res/image/data/UFTNwjYA-no5LkQQ6.png,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,0,0,1,1,Correia B. (Bra),Estadio Maria Lamas Farache (Natal),18000,965.0,14/11/2023,21:30,BRASIL,SÉRIE B - RODADA 36
lfEKnFBC,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,Criciúma,https://static.flashscore.com/res/image/data/rD23Eng5-no5LkQQ6.png,1,1,1,1,Policarpo Bento A. (Bra),Estádio Brinco de Ouro (Campinas),29130,6497.0,14/11/2023,19:00,BRASIL,SÉRIE B - RODADA 36
xEZzk5ht,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,Vitória,https://static.flashscore.com/res/image/data/EglYBtxS-4S2Tm4eJ.png,1,2,0,3,Alisson (Bra),Estádio Dr. Jorge Ismael de Biasi (Novo Horizonte),14096,3393.0,12/11/2023,18:00,BRASIL,SÉRIE B - RODADA 36
ARXrmqNh,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,2,0,3,0,F. Fernandes de Lima (Bra),Estadio Presidente Vargas (Fortaleza),20262,6194.0,12/11/2023,15:45,BRASIL,SÉRIE B - RODADA 36
UTmpoNi5,Tombense,https://static.flashscore.com/res/image/data/UHHDSjzB-Uk2dj2zB.png,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,0,1,0,3,Padovani Andrade D. J. (Bra),Estádio Antônio Guimarães de Almeida (Tombos),3050,3104.0,11/11/2023,18:00,BRASIL,SÉRIE B - RODADA 36
dKHSpgtP,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,1,1,1,1,P. Vollkopf (Bra),Ressacada (Florianópolis),17800,5337.0,11/11/2023,17:00,BRASIL,SÉRIE B - RODADA 36
jwktn3xa,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,Botafogo-SP,https://static.flashscore.com/res/image/data/lduff8Ca-jF5yTdXD.png,2,0,3,0,J. Ferreira (Bra),Arena Condá (Chapecó),20089,4000.0,11/11/2023,17:00,BRASIL,SÉRIE B - RODADA 36
0hr9gopP,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,Sampaio Corrêa,https://static.flashscore.com/res/image/data/KMTdZsxS-6NoYJwvQ.png,2,1,3,0,Leandro Vuaden (Bra),Estádio Novelli Júnior (Itu),18560,1732.0,11/11/2023,15:30,BRASIL,SÉRIE B - RODADA 36
WzZvlP7n,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,Atlético-GO,https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,0,0,1,1,Wagner do Nascimento (Bra),Estádio Adelmar da Costa Carvalho (Recife),26418,,10/11/2023,21:30,BRASIL,SÉRIE B - RODADA 36
ITIOoZQI,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,Londrina,https://static.flashscore.com/res/image/data/ADUlTugl-dAibSIqE.png,4,1,3,0,Ferreira Y. (Bra),Estádio Onésio Brasileiro Alvarenga (Goiânia),11788,4960.0,10/11/2023,19:00,BRASIL,SÉRIE B - RODADA 36
OhvnYFdJ,Criciúma,https://static.flashscore.com/res/image/data/rD23Eng5-no5LkQQ6.png,ABC,https://static.flashscore.com/res/image/data/UFTNwjYA-no5LkQQ6.png,1,0,3,0,Marcos André Gomes (Bra),Estádio Heriberto Hülse (Criciúma),19300,13927.0,07/11/2023,21:30,BRASIL,SÉRIE B - RODADA 35
A3FGmed6,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,3,2,3,0,J. Pinheiro (Bra),Estádio Rei Pelé (Maceió),19105,831.0,07/11/2023,19:00,BRASIL,SÉRIE B - RODADA 35
dt90iwcs,Vitória,https://static.flashscore.com/res/image/data/EglYBtxS-4S2Tm4eJ.png,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,1,1,1,1,M. Henrique (Bra),Barradão (Salvador),34535,28056.0,05/11/2023,18:00,BRASIL,SÉRIE B - RODADA 35
zX74jcCm,Sampaio Corrêa,https://static.flashscore.com/res/image/data/KMTdZsxS-6NoYJwvQ.png,Tombense,https://static.flashscore.com/res/image/data/UHHDSjzB-Uk2dj2zB.png,1,2,0,3,de Almeida Andrade E. R. (Bra),Estádio Governador João Castelo (São Luís),40149,,04/11/2023,19:30,BRASIL,SÉRIE B - RODADA 35
xdSTdaZJ,Botafogo-SP,https://static.flashscore.com/res/image/data/lduff8Ca-jF5yTdXD.png,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,2,2,1,1,P. Belence Alves dos Prazeres Filho (Bra),Estádio Santa Cruz (Ribeirão Preto),29292,1235.0,04/11/2023,17:00,BRASIL,SÉRIE B - RODADA 35
SQpwzxS6,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,0,1,0,3,J. Ferreira (Bra),Moisés Lucarelli (Campinas),17728,4920.0,04/11/2023,17:00,BRASIL,SÉRIE B - RODADA 35
Ug78kHRg,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,2,1,3,0,Padovani Andrade D. J. (Bra),Estadio Alfredo Jaconi (Caxias do Sul),19924,9138.0,03/11/2023,21:30,BRASIL,SÉRIE B - RODADA 35
SvQBlys0,Londrina,https://static.flashscore.com/res/image/data/ADUlTugl-dAibSIqE.png,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,0,0,1,1,Ribeiro Serafim D. (Bra),Estádio do Café (Londrina),36056,586.0,03/11/2023,21:30,BRASIL,SÉRIE B - RODADA 35
GnRXeJlQ,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,2,1,3,0,Augusto V. C. M. (Bra),Estádio José Maria de Campos Maia (Mirassol),15000,4226.0,03/11/2023,19:00,BRASIL,SÉRIE B - RODADA 35
AkzrZesD,Atlético-GO,https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,2,2,1,1,F. Fernandes de Lima (Bra),Estádio Antonio Accioly (Goiânia),12500,10157.0,01/11/2023,20:00,BRASIL,SÉRIE B - RODADA 35
2JmRxvrl,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,Tombense,https://static.flashscore.com/res/image/data/UHHDSjzB-Uk2dj2zB.png,1,2,0,3,Ribeiro Serafim D. (Bra),Arena Condá (Chapecó),20089,,30/10/2023,20:00,BRASIL,SÉRIE B - RODADA 34
8IVhenbF,Vitória,https://static.flashscore.com/res/image/data/EglYBtxS-4S2Tm4eJ.png,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,0,0,1,1,F. Fernandes de Lima (Bra),Barradão (Salvador),34535,28254.0,29/10/2023,19:00,BRASIL,SÉRIE B - RODADA 34
tAnVybcf,Londrina,https://static.flashscore.com/res/image/data/ADUlTugl-dAibSIqE.png,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,1,1,1,1,Guimaraes Junior I. (Bra),Estádio do Café (Londrina),36056,396.0,29/10/2023,18:30,BRASIL,SÉRIE B - RODADA 34
KdkbZ4yd,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,Atlético-GO,https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,2,1,3,0,P. C. Zanovelli (Bra),Estádio Onésio Brasileiro Alvarenga (Goiânia),11788,3374.0,28/10/2023,19:00,BRASIL,SÉRIE B - RODADA 34
bml2YOj2,Criciúma,https://static.flashscore.com/res/image/data/rD23Eng5-no5LkQQ6.png,Sampaio Corrêa,https://static.flashscore.com/res/image/data/KMTdZsxS-6NoYJwvQ.png,3,0,3,0,Correia B. (Bra),Estádio Heriberto Hülse (Criciúma),19300,,28/10/2023,15:30,BRASIL,SÉRIE B - RODADA 34
z5Xpc8T2,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,0,0,1,1,Vinícius Araújo (Bra),Estádio Novelli Júnior (Itu),18560,1301.0,28/10/2023,15:30,BRASIL,SÉRIE B - RODADA 34
QZkfzoMk,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,Botafogo-SP,https://static.flashscore.com/res/image/data/lduff8Ca-jF5yTdXD.png,0,1,0,3,M. Lima Barbosa (Bra),Estádio Brinco de Ouro (Campinas),29130,6528.0,27/10/2023,21:30,BRASIL,SÉRIE B - RODADA 34
EeWldSr9,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,2,0,3,0,Vitor Gobi J. (Bra),Estádio Dr. Jorge Ismael de Biasi (Novo Horizonte),14096,1381.0,27/10/2023,21:30,BRASIL,SÉRIE B - RODADA 34
KfbMwKSs,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,2,1,3,0,Ferreira Y. (Bra),Castelão (Fortaleza),60326,6402.0,27/10/2023,19:00,BRASIL,SÉRIE B - RODADA 34
lznZzIC0,ABC,https://static.flashscore.com/res/image/data/UFTNwjYA-no5LkQQ6.png,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,1,1,1,1,Miranda L. (Bra),Estadio Maria Lamas Farache (Natal),18000,1206.0,26/10/2023,19:00,BRASIL,SÉRIE B - RODADA 34
6JfKN7xp,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,0,0,1,1,de Almeida Andrade E. R. (Bra),Moisés Lucarelli (Campinas),17728,3915.0,23/10/2023,20:00,BRASIL,SÉRIE B - RODADA 33
CWPKLo7d,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,1,0,3,0,J. Pinheiro (Bra),Ressacada (Florianópolis),17800,8520.0,22/10/2023,18:00,BRASIL,SÉRIE B - RODADA 33
M17Br9E9,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,2,1,3,0,Wagner do Nascimento (Bra),Estádio Adelmar da Costa Carvalho (Recife),26418,26002.0,22/10/2023,18:00,BRASIL,SÉRIE B - RODADA 33
URAJtmqM,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,Londrina,https://static.flashscore.com/res/image/data/ADUlTugl-dAibSIqE.png,2,2,1,1,P. Vollkopf (Bra),Estadio Alfredo Jaconi (Caxias do Sul),19924,12161.0,21/10/2023,18:00,BRASIL,SÉRIE B - RODADA 33
QZD2pVqc,Botafogo-SP,https://static.flashscore.com/res/image/data/lduff8Ca-jF5yTdXD.png,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,2,0,3,0,Vinícius Araújo (Bra),Estádio Santa Cruz (Ribeirão Preto),29292,1736.0,21/10/2023,17:00,BRASIL,SÉRIE B - RODADA 33
EanjyR6q,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,Criciúma,https://static.flashscore.com/res/image/data/rD23Eng5-no5LkQQ6.png,0,1,0,3,F. Fernandes de Lima (Bra),Estádio Rei Pelé (Maceió),19105,2709.0,21/10/2023,17:00,BRASIL,SÉRIE B - RODADA 33
vwI6qka3,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,0,0,1,1,Vitor Gobi J. (Bra),Estádio José Maria de Campos Maia (Mirassol),15000,5445.0,20/10/2023,21:30,BRASIL,SÉRIE B - RODADA 33
0h6FsTTF,Sampaio Corrêa,https://static.flashscore.com/res/image/data/KMTdZsxS-6NoYJwvQ.png,Vitória,https://static.flashscore.com/res/image/data/EglYBtxS-4S2Tm4eJ.png,0,1,0,3,Pereira Sampiao S. (Bra),Estádio Governador João Castelo (São Luís),40149,6611.0,20/10/2023,19:00,BRASIL,SÉRIE B - RODADA 33
YuRGMRij,Atlético-GO,https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,ABC,https://static.flashscore.com/res/image/data/UFTNwjYA-no5LkQQ6.png,3,1,3,0,Correia B. (Bra),Estádio Antonio Accioly (Goiânia),12500,10201.0,19/10/2023,19:00,BRASIL,SÉRIE B - RODADA 33
8I9Nu7bS,Tombense,https://static.flashscore.com/res/image/data/UHHDSjzB-Uk2dj2zB.png,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,2,1,3,0,M. Lima Barbosa (Bra),Estádio Antônio Guimarães de Almeida (Tombos),3050,1390.0,19/10/2023,19:00,BRASIL,SÉRIE B - RODADA 33
dp5pU9aG,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,2,2,1,1,Pereira Sampiao S. (Bra),Estadio Alfredo Jaconi (Caxias do Sul),19924,7438.0,16/10/2023,20:00,BRASIL,SÉRIE B - RODADA 32
Am9lTTEM,Londrina,https://static.flashscore.com/res/image/data/ADUlTugl-dAibSIqE.png,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,1,1,1,1,Wilton Sampaio (Bra),Estádio do Café (Londrina),36056,785.0,15/10/2023,18:30,BRASIL,SÉRIE B - RODADA 32
zVGyWVU3,Vitória,https://static.flashscore.com/res/image/data/EglYBtxS-4S2Tm4eJ.png,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,2,0,3,0,Wagner do Nascimento (Bra),Barradão (Salvador),34535,27887.0,15/10/2023,18:00,BRASIL,SÉRIE B - RODADA 32
dpqFEUaT,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,Atlético-GO,https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,0,2,0,3,Padovani Andrade D. J. (Bra),Moisés Lucarelli (Campinas),17728,4526.0,15/10/2023,15:45,BRASIL,SÉRIE B - RODADA 32
ELFuVkpA,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,Sampaio Corrêa,https://static.flashscore.com/res/image/data/KMTdZsxS-6NoYJwvQ.png,0,0,1,1,Martins R. (Bra),Castelão (Fortaleza),60326,6347.0,14/10/2023,18:30,BRASIL,SÉRIE B - RODADA 32
S4DTXi0i,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,0,0,1,1,J. Pinheiro (Bra),Estádio Novelli Júnior (Itu),18560,1630.0,14/10/2023,17:00,BRASIL,SÉRIE B - RODADA 32
6eCXWBFc,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,Tombense,https://static.flashscore.com/res/image/data/UHHDSjzB-Uk2dj2zB.png,0,0,1,1,Ferreira Y. (Bra),Estádio Dr. Jorge Ismael de Biasi (Novo Horizonte),14096,2213.0,14/10/2023,17:00,BRASIL,SÉRIE B - RODADA 32
QaZp98Nj,Criciúma,https://static.flashscore.com/res/image/data/rD23Eng5-no5LkQQ6.png,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,1,2,0,3,R. Abatti Abel (Bra),Estádio Heriberto Hülse (Criciúma),19300,12735.0,13/10/2023,21:30,BRASIL,SÉRIE B - RODADA 32
EPVtAl8p,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,Botafogo-SP,https://static.flashscore.com/res/image/data/lduff8Ca-jF5yTdXD.png,3,1,3,0,Marcos André Gomes (Bra),Estádio Onésio Brasileiro Alvarenga (Goiânia),11788,1846.0,11/10/2023,21:30,BRASIL,SÉRIE B - RODADA 32
4A8hSmUS,ABC,https://static.flashscore.com/res/image/data/UFTNwjYA-no5LkQQ6.png,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,1,2,0,3,R. Raposo (Bra),Estadio Maria Lamas Farache (Natal),18000,2016.0,10/10/2023,21:30,BRASIL,SÉRIE B - RODADA 32
E1mfJhob,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,3,3,1,1,da Silva Junior J. M. (Bra),Estádio Adelmar da Costa Carvalho (Recife),26418,23078.0,09/10/2023,20:00,BRASIL,SÉRIE B - RODADA 31
QuB3dVwo,Criciúma,https://static.flashscore.com/res/image/data/rD23Eng5-no5LkQQ6.png,Vitória,https://static.flashscore.com/res/image/data/EglYBtxS-4S2Tm4eJ.png,1,0,3,0,Augusto V. C. M. (Bra),Estádio Heriberto Hülse (Criciúma),19300,7615.0,08/10/2023,18:00,BRASIL,SÉRIE B - RODADA 31
t8ZW1iGN,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,1,1,1,1,F. Fernandes de Lima (Bra),Estádio Brinco de Ouro (Campinas),29130,,07/10/2023,18:00,BRASIL,SÉRIE B - RODADA 31
hnaoLEGo,Botafogo-SP,https://static.flashscore.com/res/image/data/lduff8Ca-jF5yTdXD.png,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,0,1,0,3,Klein R. (Bra),Estádio Santa Cruz (Ribeirão Preto),29292,2068.0,07/10/2023,17:00,BRASIL,SÉRIE B - RODADA 31
S4ibIC04,Sampaio Corrêa,https://static.flashscore.com/res/image/data/KMTdZsxS-6NoYJwvQ.png,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,1,1,1,1,Padovani Andrade D. J. (Bra),Estádio Governador João Castelo (São Luís),40149,,07/10/2023,17:00,BRASIL,SÉRIE B - RODADA 31
0Ik6GjVG,Tombense,https://static.flashscore.com/res/image/data/UHHDSjzB-Uk2dj2zB.png,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,1,1,1,1,Alisson (Bra),Estádio Antônio Guimarães de Almeida (Tombos),3050,2242.0,07/10/2023,15:30,BRASIL,SÉRIE B - RODADA 31
OWOy1BVT,Atlético-GO,https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,1,0,3,0,Policarpo Bento A. (Bra),Estádio Antonio Accioly (Goiânia),12500,9195.0,06/10/2023,21:30,BRASIL,SÉRIE B - RODADA 31
IgpBFApN,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,2,0,3,0,Leo Lima (Bra),Estádio Rei Pelé (Maceió),19105,3360.0,06/10/2023,21:30,BRASIL,SÉRIE B - RODADA 31
MRj2HWFA,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,ABC,https://static.flashscore.com/res/image/data/UFTNwjYA-no5LkQQ6.png,0,0,1,1,M. Lima Barbosa (Bra),Arena Condá (Chapecó),20089,4459.0,05/10/2023,19:15,BRASIL,SÉRIE B - RODADA 31
